Observation id,DE18079,,,,,,,,
,,,,,,,,,
Independent variables,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
Analysis from,0.000,to,1542.770,,,,,,
Total length (s),1542.770,,,,,,,,
,,,,,,,,,
Time budget,,,,,,,,,
subject,behavior,modifiers,number,duration,duration_mean,duration_stdev,inter_duration_mean,inter_duration_stdev,% of total length
No focal subject,in syringe,-,1,608.238,608.238,NA,NA,NA,39.4
No focal subject,on syringe,-,1,12.53,12.53,NA,NA,NA,0.8
No focal subject,rock,-,0,0,0,NA,-,-,-
No focal subject,leaves,-,2,893.028,446.514,620.561,6.748,NA,57.9
No focal subject,sand,-,1,6.746,6.746,NA,NA,NA,0.4
No focal subject,rock jump,,0,0,0,NA,NA,NA,-
No focal subject,leaf jump,-,6,0,0,0,108.801,200.517,-
No focal subject,sand jump,-,1,0,0,0,NA,NA,-
No focal subject,wall jump,,0,0,0,NA,NA,NA,-
No focal subject,wall,-,0,0,0,NA,-,-,-
