Observation id,CI18028,,,,,,,,
,,,,,,,,,
Independent variables,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
Analysis from,0.000,to,951.530,,,,,,
Total length (s),951.530,,,,,,,,
,,,,,,,,,
Time budget,,,,,,,,,
subject,behavior,modifiers,number,duration,duration_mean,duration_stdev,inter_duration_mean,inter_duration_stdev,% of total length
No focal subject,in syringe,-,1,19.049,19.049,NA,NA,NA,2.0
No focal subject,on syringe,-,1,20.953,20.953,NA,NA,NA,2.2
No focal subject,rock,-,1,886.765,886.765,NA,NA,NA,93.2
No focal subject,leaves,-,0,0,0,NA,-,-,-
No focal subject,sand,-,1,13.334,13.334,NA,NA,NA,1.4
No focal subject,rock jump,-,1,0,0,0,NA,NA,-
No focal subject,leaf jump,,0,0,0,NA,NA,NA,-
No focal subject,sand jump,-,1,0,0,0,NA,NA,-
No focal subject,wall jump,-,1,0,0,0,NA,NA,-
No focal subject,wall,-,0,0,0,NA,-,-,-
