Observation id,EB18122,,,,,,,,
,,,,,,,,,
Independent variables,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
Analysis from,0.000,to,982.530,,,,,,
Total length (s),982.530,,,,,,,,
,,,,,,,,,
Time budget,,,,,,,,,
subject,behavior,modifiers,number,duration,duration_mean,duration_stdev,inter_duration_mean,inter_duration_stdev,% of total length
No focal subject,in syringe,-,1,67.474,67.474,NA,NA,NA,6.9
No focal subject,on syringe,-,0,0,0,NA,-,-,-
No focal subject,rock,-,1,122.418,122.418,NA,NA,NA,12.5
No focal subject,leaves,-,1,778.053,778.053,NA,NA,NA,79.2
No focal subject,sand,-,0,0,0,NA,-,-,-
No focal subject,rock jump,-,1,0,0,0,NA,NA,-
No focal subject,leaf jump,-,2,0,0,0,187.002,NA,-
No focal subject,sand jump,,0,0,0,NA,NA,NA,-
No focal subject,wall jump,,0,0,0,NA,NA,NA,-
No focal subject,wall,-,0,0,0,NA,-,-,-
