Observation id,MR18050,,,,,,,,
,,,,,,,,,
Independent variables,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
Analysis from,0.000,to,1502.470,,,,,,
Total length (s),1502.470,,,,,,,,
,,,,,,,,,
Time budget,,,,,,,,,
subject,behavior,modifiers,number,duration,duration_mean,duration_stdev,inter_duration_mean,inter_duration_stdev,% of total length
No focal subject,in syringe,-,1,576.429,576.429,NA,NA,NA,38.4
No focal subject,on syringe,-,0,0,0,NA,-,-,-
No focal subject,rock,-,1,176.397,176.397,NA,NA,NA,11.7
No focal subject,leaves,-,0,0,0,NA,-,-,-
No focal subject,sand,-,0,0,0,NA,-,-,-
No focal subject,rock jump,-,1,0,0,0,NA,NA,-
No focal subject,leaf jump,,0,0,0,NA,NA,NA,-
No focal subject,sand jump,,0,0,0,NA,NA,NA,-
No focal subject,wall jump,-,1,0,0,0,NA,NA,-
No focal subject,wall,-,1,723.45,723.45,NA,NA,NA,48.2
