Observation id,AW18014,,,,,,,,
,,,,,,,,,
Independent variables,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
Analysis from,0.000,to,1113.290,,,,,,
Total length (s),1113.290,,,,,,,,
,,,,,,,,,
Time budget,,,,,,,,,
subject,behavior,modifiers,number,duration,duration_mean,duration_stdev,inter_duration_mean,inter_duration_stdev,% of total length
No focal subject,in syringe,-,1,57.835,57.835,NA,NA,NA,5.2
No focal subject,on syringe,-,1,115.67,115.67,NA,NA,NA,10.4
No focal subject,rock,-,1,753.948,753.948,NA,NA,NA,67.7
No focal subject,leaves,-,0,0,0,NA,-,-,-
No focal subject,sand,-,1,29.881,29.881,NA,NA,NA,2.7
No focal subject,rock jump,-,1,0,0,0,NA,NA,-
No focal subject,leaf jump,,0,0,0,NA,NA,NA,-
No focal subject,sand jump,-,1,0,0,0,NA,NA,-
No focal subject,wall jump,,0,0,0,NA,NA,NA,-
No focal subject,wall,-,0,0,0,NA,-,-,-
